Obra;Grupo Orçamentário;Cód. Estruturado;Cód. Item;Descrição Item;Unid.;Categoria; Qtde. Insumo ; Custo Insumo ; Total Orçado ;Tipo
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall - 2 demão nao prevista;01240100304OBR;1303;Emassamento 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 1,00 ; 4,47 ; 4,47 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100401OBR;1319;Lixamento;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100401OBR;1301;Emassamento 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para pintura - 1ª demao;01240100402OBR;1459;Pintura 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para pintura - 2ª demao;01240100403OBR;1461;Pintura 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall - 2 demão nao prevista;01240100404OBR;1303;Emassamento 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 1,00 ; 4,47 ; 4,47 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100501OBR;1319;Lixamento;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100501OBR;1301;Emassamento 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para pintura - 1ª demao;01240100502OBR;1459;Pintura 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para pintura - 2ª demao;01240100503OBR;1461;Pintura 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall - 2 demão nao prevista;01240100504OBR;1303;Emassamento 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 1,00 ; 4,47 ; 4,47 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100601OBR;1319;Lixamento;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100601OBR;1301;Emassamento 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para pintura - 1ª demao;01240100602OBR;1459;Pintura 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para pintura - 2ª demao;01240100603OBR;1461;Pintura 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall - 2 demão nao prevista;01240100604OBR;1303;Emassamento 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 1,00 ; 4,47 ; 4,47 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100701OBR;1319;Lixamento;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100701OBR;1301;Emassamento 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para pintura - 1ª demao;01240100702OBR;1459;Pintura 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para pintura - 2ª demao;01240100703OBR;1461;Pintura 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall - 2 demão nao prevista;01240100704OBR;1303;Emassamento 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 1,00 ; 4,47 ; 4,47 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100801OBR;1319;Lixamento;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para execucao de massa corrida interna - em gesso/drywall;01240100801OBR;1301;Emassamento 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
OBR;Mao de obra para pintura - 1ª demao;01240100802OBR;1459;Pintura 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 398,32 ; 4,47 ; 1.781,88 ;Geral
